console,class,count,status
3do,B,394,ok
amigacd32,B,181,ok
arcadia,A,48,ok
astrocde,A,40,ok
atari2600,A,557,ok
atari5200,A,73,ok
atari7800,A,61,ok
atari800,A,36,ok
atarijaguar,A,46,ok
atarilynx,A,119,ok
atarixe,A,36,ok
c64,A,282,ok
cdimono1,B,1741,ok
cdtv,B,59,ok
channelf,A,32,ok
colecovision,A,142,ok
crvision,A,22,ok
dreamcast,B,903,ok
famicom,A,1714,ok
fds,A,220,ok
gamate,A,61,ok
gamecom,A,22,ok
gamegear,A,408,ok
gb,A,1320,ok
gba,A,2039,ok
gbc,A,1119,ok
gc,B,1027,ok
genesis,A,1204,ok
gmaster,A,18,ok
intellivision,A,149,ok
mark3,A,379,ok
mastersystem,A,379,ok
megacd,B,249,ok
megacdjp,B,249,ok
megadrive,A,1204,ok
megadrivejp,A,1204,ok
megaduck,A,24,ok
multivision,A,99,ok
n3ds,C,1281,ok
n64,A,493,ok
n64dd,A,10,ok
nds,A,5002,ok
neogeo,A,119,ok
neogeocd,B,99,ok
neogeocdjp,B,99,ok
nes,A,1714,ok
ngp,A,9,ok
ngpc,A,84,ok
odyssey2,A,105,ok
pcengine,A,364,ok
pcenginecd,B,434,ok
pcfx,B,68,ok
plus4,A,10,ok
pokemini,A,23,ok
ps2,B,6386,ok
ps3,C,2222,ok
psp,B,2180,ok
psvita,C,15550,ok
psx,B,6265,ok
pv1000,A,13,ok
satellaview,A,354,ok
saturn,B,1378,ok
saturnjp,B,1378,ok
scv,A,30,ok
sega32x,A,43,ok
sega32xjp,A,43,ok
sega32xna,A,43,ok
segacd,B,249,ok
sfc,A,2216,ok
sg-1000,A,99,ok
sgb,A,1320,ok
snes,A,2216,ok
snesna,A,2216,ok
sufami,A,13,ok
supergrafx,A,5,ok
supervision,A,69,ok
supracan,A,12,ok
switch,C,0,empty
tg-cd,B,434,ok
tg16,A,364,ok
vectrex,A,32,ok
vic20,A,214,ok
videopac,A,105,ok
virtualboy,A,26,ok
vsmile,A,347,ok
wii,B,2160,ok
wiiu,C,291,ok
wonderswan,A,115,ok
wonderswancolor,A,97,ok
